x,y
0.31687668,0.35176976
0.31687668,0.35156547
0.31687668,0.35136117
0.31687668,0.35115688
0.31687668,0.35095258
0.31687668,0.35074829
0.31687668,0.35054400
0.31687668,0.35033970
0.31687668,0.35013541
0.31687668,0.34993111
0.31687668,0.34972682
0.31687668,0.34952252
0.31687668,0.34931823
0.31687668,0.34911394
0.31687668,0.34890964
0.31687668,0.34870535
0.31687668,0.34850105
0.31687668,0.34829676
0.31687668,0.34809246
0.31687668,0.34788817
0.31687668,0.34768387
0.31687668,0.34747958
0.31687668,0.34727529
0.31687668,0.34707099
0.31687668,0.34686670
0.31687668,0.34666240
0.31687668,0.34645811
0.31687668,0.34625381
0.31687668,0.34604952
0.31687668,0.34584523
0.31687668,0.34564093
0.31687668,0.34543664
0.31687668,0.34523234
0.31687668,0.34502805
0.31687668,0.34482375
0.31687668,0.34461946
0.31687668,0.34441517
0.31687668,0.34421087
0.31687668,0.34400658
0.31687668,0.34380228
0.31687668,0.34359799
0.31687668,0.34339369
0.31687668,0.34318940
0.31687668,0.34298510
0.31687668,0.34278081
0.31687668,0.34257652
0.31687668,0.34237222
0.31687668,0.34216793
0.31687668,0.34196363
0.31687668,0.34175934
0.31687668,0.34155504
0.31687668,0.34135075
0.31687668,0.34114646
0.31687668,0.34094216
0.31687668,0.34073787
0.31687668,0.34053357
0.31687668,0.34032928
0.31687668,0.34012498
0.31687668,0.33992069
0.31687668,0.33971639
0.31687668,0.33951210
0.31687668,0.33930781
0.31687668,0.33910351
0.31687668,0.33889922
0.31687668,0.33869492
0.31687668,0.33849063
0.31687668,0.33828633
0.31687668,0.33808204
0.31687668,0.33787775
0.31687668,0.33767345
0.31687668,0.33746916
0.31687668,0.33726486
0.31687668,0.33706057
0.31687668,0.33685627
0.31687668,0.33665198
0.31687668,0.33644769
0.31687668,0.33624339
0.31687668,0.33603910
0.31687668,0.33583480
0.31687668,0.33563051
0.31687668,0.33542621
0.31687668,0.33522192
0.31687668,0.33501762
0.31687668,0.33481333
0.31687668,0.33460904
0.31687668,0.33440474
0.31687668,0.33420045
0.31687668,0.33399615
0.31687668,0.33379186
0.31687668,0.33358756
0.31687668,0.33338327
0.31687668,0.33317898
0.31687668,0.33297468
0.31687668,0.33277039
0.31687668,0.33256609
0.31687668,0.33236180
0.31687668,0.33215750
0.31687668,0.33195321
0.31687668,0.33174891
0.31687668,0.33154462
0.31687668,0.33134033
0.31687668,0.33113603
0.31687668,0.33093174
0.31687668,0.33072744
0.31687668,0.33052315
0.31687668,0.33031885
0.31687668,0.33011456
0.31687668,0.32991027
0.31687668,0.32970597
0.31687668,0.32950168
0.31687668,0.32929738
0.31687668,0.32909309
0.31687668,0.32888879
0.31687668,0.32868450
0.31687668,0.32848021
0.31687668,0.32827591
0.31687668,0.32807162
0.31687668,0.32786732
0.31687668,0.32766303
0.31687668,0.32745873
0.31687668,0.32725444
0.31687668,0.32705014
0.31687668,0.32684585
0.31687668,0.32664156
0.31687668,0.32643726
0.31687668,0.32623297
0.31687668,0.32602867
0.31687668,0.32582438
0.31687668,0.32562008
0.31687668,0.32541579
0.31687668,0.32521150
0.31687668,0.32500720
0.31687668,0.32480291
0.31687668,0.32459861
0.31687668,0.32439432
0.31687668,0.32419002
0.31687668,0.32398573
0.31687668,0.32378143
0.31687668,0.32357714
0.31687668,0.32337285
0.31687668,0.32316855
0.31687668,0.32296426
0.31687668,0.32275996
0.31687668,0.32255567
0.31687668,0.32235137
0.31687668,0.32214708
0.31687668,0.32194279
0.31687668,0.32173849
0.31687668,0.32153420
0.31687668,0.32132990
0.31687668,0.32112561
0.31687668,0.32092131
0.31687668,0.32071702
0.31687668,0.32051273
0.31687668,0.32030843
0.31687668,0.32010414
0.31687668,0.31989984
0.31687668,0.31969555
0.31687668,0.31949125
0.31687668,0.31928696
0.31687668,0.31908266
0.31687668,0.31887837
0.31687668,0.31867408
0.31687668,0.31846978
0.31687668,0.31826549
0.31687668,0.31806119
0.31687668,0.31785690
0.31687668,0.31765260
0.31687668,0.31744831
0.31687668,0.31724402
0.31687668,0.31703972
0.31687668,0.31683543
0.31687668,0.31663113
0.31687668,0.31642684
0.31687668,0.31622254
0.31687668,0.31601825
0.31687668,0.31581395
0.31687668,0.31560966
0.31687668,0.31540537
0.31687668,0.31520107
0.31687668,0.31499678
0.31687668,0.31479248
0.31687668,0.31458819
0.31687668,0.31438389
0.31687668,0.31417960
0.31687668,0.31397531
0.31687668,0.31377101
0.31687668,0.31356672
0.31687668,0.31336242
0.31687668,0.31315813
0.31687668,0.31295383
0.31687668,0.31274954
0.31687668,0.31254525
0.31687668,0.31234095
0.31687668,0.31213666
0.31687668,0.31193236
0.31687668,0.31172807
0.31687668,0.31152377
0.31687668,0.31131948
0.31687668,0.31111518
0.31687668,0.31091089
0.31687668,0.31070660
0.31687668,0.31050230
0.31687668,0.31029801
0.31687668,0.31009371
0.31687668,0.30988942
0.31687668,0.30968512
0.31687668,0.30948083
0.31687668,0.30927654
0.31687668,0.30907224
0.31687668,0.30886795
0.31687668,0.30866365
0.31687668,0.30845936
0.31687668,0.30825506
0.31687668,0.30805077
0.31687668,0.30784647
0.31687668,0.30764218
